płeć,wiek,kierunek_wykształcenia,poziom_wykształcenia,Źródło,Student,Trans
Male,29,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,58,NA,Master's degree,Kaggle 2017,NA,NA
Female,23,Mathematics or statistics,Bachelor's degree,Kaggle 2017,NA,NA
Female,22,I never declared a major,Bachelor's degree,Kaggle 2017,NA,NA
Male,26,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,21,NA,I did not complete any formal education past high school,Kaggle 2017,NA,NA
Male,31,NA,NA,Kaggle 2017,NA,NA
Male,32,Physics,Doctoral degree,Kaggle 2017,NA,NA
Male,36,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,35,Electrical Engineering,Master's degree,Kaggle 2017,NA,NA
Male,24,Computer Science,Bachelor's degree,Kaggle 2017,NA,NA
Male,21,Computer Science,Bachelor's degree,Kaggle 2017,NA,NA
Male,26,Engineering (non-computer focused),Bachelor's degree,Kaggle 2017,NA,NA
Male,31,NA,NA,Kaggle 2017,NA,NA
Male,31,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,30,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,25,Computer Science,Bachelor's degree,Kaggle 2017,NA,NA
Male,25,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,27,Mathematics or statistics,Bachelor's degree,Kaggle 2017,NA,NA
Male,25,NA,Master's degree,Kaggle 2017,NA,NA
Male,36,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
"Non-binary, genderqueer, or gender non-conforming",44,A humanities discipline,Doctoral degree,Kaggle 2017,NA,NA
Female,41,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,24,Mathematics or statistics,Bachelor's degree,Kaggle 2017,NA,NA
Female,29,NA,NA,Kaggle 2017,NA,NA
Male,29,"Information technology, networking, or system administration",Some college/university study without earning a bachelor's degree,Kaggle 2017,NA,NA
Male,34,Other,Master's degree,Kaggle 2017,NA,NA
Male,32,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,29,NA,NA,Kaggle 2017,NA,NA
Male,26,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,27,NA,NA,Kaggle 2017,NA,NA
Male,30,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,34,NA,Bachelor's degree,Kaggle 2017,NA,NA
Male,38,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,20,Computer Science,Some college/university study without earning a bachelor's degree,Kaggle 2017,NA,NA
Male,42,Physics,Master's degree,Kaggle 2017,NA,NA
Male,50,Computer Science,Doctoral degree,Kaggle 2017,NA,NA
Male,26,NA,Master's degree,Kaggle 2017,NA,NA
Male,57,Electrical Engineering,Doctoral degree,Kaggle 2017,NA,NA
Male,38,Physics,Master's degree,Kaggle 2017,NA,NA
Male,22,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,36,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,25,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,36,A social science,Master's degree,Kaggle 2017,NA,NA
Male,21,Other,Bachelor's degree,Kaggle 2017,NA,NA
Male,38,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,37,Electrical Engineering,Master's degree,Kaggle 2017,NA,NA
Male,26,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,32,A humanities discipline,Master's degree,Kaggle 2017,NA,NA
Male,34,NA,NA,Kaggle 2017,NA,NA
Male,20,Computer Science,Some college/university study without earning a bachelor's degree,Kaggle 2017,NA,NA
Male,32,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,24,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,32,NA,NA,Kaggle 2017,NA,NA
Male,34,NA,NA,Kaggle 2017,NA,NA
Male,40,Electrical Engineering,Doctoral degree,Kaggle 2017,NA,NA
Male,27,Other,Master's degree,Kaggle 2017,NA,NA
Male,47,NA,NA,Kaggle 2017,NA,NA
Male,30,NA,Master's degree,Kaggle 2017,NA,NA
Female,27,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,22,Computer Science,Some college/university study without earning a bachelor's degree,Kaggle 2017,NA,NA
Male,29,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,30,Physics,Master's degree,Kaggle 2017,NA,NA
Male,39,NA,NA,Kaggle 2017,NA,NA
Male,35,A social science,Master's degree,Kaggle 2017,NA,NA
Male,20,Computer Science,Some college/university study without earning a bachelor's degree,Kaggle 2017,NA,NA
Male,29,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,29,NA,Master's degree,Kaggle 2017,NA,NA
Female,23,Physics,Bachelor's degree,Kaggle 2017,NA,NA
Male,22,NA,Bachelor's degree,Kaggle 2017,NA,NA
Male,28,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,22,Computer Science,Bachelor's degree,Kaggle 2017,NA,NA
Male,17,NA,NA,Kaggle 2017,NA,NA
Male,28,Electrical Engineering,Master's degree,Kaggle 2017,NA,NA
Male,30,Electrical Engineering,Doctoral degree,Kaggle 2017,NA,NA
Male,27,NA,Bachelor's degree,Kaggle 2017,NA,NA
Male,28,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,30,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,28,Computer Science,Master's degree,Kaggle 2017,NA,NA
Female,32,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,25,NA,Master's degree,Kaggle 2017,NA,NA
Male,47,Electrical Engineering,Master's degree,Kaggle 2017,NA,NA
Male,28,Engineering (non-computer focused),Master's degree,Kaggle 2017,NA,NA
Male,31,NA,NA,Kaggle 2017,NA,NA
Male,21,Computer Science,Some college/university study without earning a bachelor's degree,Kaggle 2017,NA,NA
Male,29,Computer Science,Doctoral degree,Kaggle 2017,NA,NA
Male,33,NA,Master's degree,Kaggle 2017,NA,NA
Male,25,NA,NA,Kaggle 2017,NA,NA
Male,26,NA,Master's degree,Kaggle 2017,NA,NA
Male,29,A social science,Doctoral degree,Kaggle 2017,NA,NA
Male,31,"Information technology, networking, or system administration",Doctoral degree,Kaggle 2017,NA,NA
Male,23,Computer Science,Bachelor's degree,Kaggle 2017,NA,NA
Male,34,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,38,Psychology,Master's degree,Kaggle 2017,NA,NA
Male,27,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,33,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,35,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,24,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,31,Psychology,Master's degree,Kaggle 2017,NA,NA
Male,37,A social science,Doctoral degree,Kaggle 2017,NA,NA
Female,27,Physics,Master's degree,Kaggle 2017,NA,NA
Female,30,NA,NA,Kaggle 2017,NA,NA
Female,24,NA,NA,Kaggle 2017,NA,NA
Male,27,Engineering (non-computer focused),Master's degree,Kaggle 2017,NA,NA
Male,26,Physics,Master's degree,Kaggle 2017,NA,NA
Male,29,NA,NA,Kaggle 2017,NA,NA
Male,41,Computer Science,Bachelor's degree,Kaggle 2017,NA,NA
Male,23,Computer Science,Bachelor's degree,Kaggle 2017,NA,NA
Male,48,Physics,Doctoral degree,Kaggle 2017,NA,NA
A different identity,42,NA,Professional degree,Kaggle 2017,NA,NA
Male,37,NA,NA,Kaggle 2017,NA,NA
Female,24,Physics,Master's degree,Kaggle 2017,NA,NA
Male,28,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,24,Computer Science,Master's degree,Kaggle 2017,NA,NA
Female,26,NA,NA,Kaggle 2017,NA,NA
Male,34,NA,NA,Kaggle 2017,NA,NA
Male,22,NA,NA,Kaggle 2017,NA,NA
Male,33,NA,NA,Kaggle 2017,NA,NA
Male,26,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,38,NA,Master's degree,Kaggle 2017,NA,NA
Male,25,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,40,Mathematics or statistics,Master's degree,Kaggle 2017,NA,NA
Male,37,NA,Doctoral degree,Kaggle 2017,NA,NA
Male,42,NA,Master's degree,Kaggle 2017,NA,NA
Male,25,Computer Science,Master's degree,Kaggle 2017,NA,NA
Male,22,Computer Science,Bachelor's degree,Kaggle 2017,NA,NA
Male,25,Mathematics or statistics,Bachelor's degree,Kaggle 2017,NA,NA
Female,36,NA,NA,Kaggle 2017,NA,NA
Male,37,Computer Science,Doctoral degree,Kaggle 2017,NA,NA
Male,24,NA,NA,Kaggle 2017,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,40-44,"Medical or life sciences (biology, chemistry, medicine, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,22-24,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,30-34,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,18-21,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Female,25-29,"Information technology, networking, or system administration",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Social sciences (anthropology, psychology, sociology, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Female,22-24,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"Social sciences (anthropology, psychology, sociology, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,35-39,Mathematics or statistics,Doctoral degree,Kaggle 2018,NA,NA
Male,25-29,Engineering (non-computer focused),Doctoral degree,Kaggle 2018,NA,NA
Male,25-29,Physics or astronomy,Doctoral degree,Kaggle 2018,NA,NA
Male,30-34,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Engineering (non-computer focused),Master’s degree,Kaggle 2018,NA,NA
Male,22-24,Physics or astronomy,Bachelor’s degree,Kaggle 2018,NA,NA
Male,22-24,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,25-29,Engineering (non-computer focused),Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Engineering (non-computer focused),Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,25-29,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,40-44,Physics or astronomy,Doctoral degree,Kaggle 2018,NA,NA
Male,25-29,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,Physics or astronomy,Bachelor’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Female,35-39,Mathematics or statistics,Bachelor’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Some college/university study without earning a bachelor’s degree,Kaggle 2018,NA,NA
Male,30-34,Mathematics or statistics,Doctoral degree,Kaggle 2018,NA,NA
Male,30-34,Engineering (non-computer focused),Bachelor’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,50-54,"Medical or life sciences (biology, chemistry, medicine, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Other,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Engineering (non-computer focused),Doctoral degree,Kaggle 2018,NA,NA
Male,40-44,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,25-29,"Computer science (software engineering, etc.)",Some college/university study without earning a bachelor’s degree,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,30-34,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,40-44,"Medical or life sciences (biology, chemistry, medicine, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,22-24,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,22-24,"Information technology, networking, or system administration",Bachelor’s degree,Kaggle 2018,NA,NA
Male,30-34,Environmental science or geology,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,22-24,Engineering (non-computer focused),Master’s degree,Kaggle 2018,NA,NA
Female,35-39,Physics or astronomy,Master’s degree,Kaggle 2018,NA,NA
Male,35-39,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,"Computer science (software engineering, etc.)",Some college/university study without earning a bachelor’s degree,Kaggle 2018,NA,NA
Male,25-29,Physics or astronomy,Master’s degree,Kaggle 2018,NA,NA
Prefer not to say,25-29,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,45-49,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,25-29,"Social sciences (anthropology, psychology, sociology, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,40-44,Engineering (non-computer focused),Doctoral degree,Kaggle 2018,NA,NA
Female,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,30-34,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,40-44,Engineering (non-computer focused),Doctoral degree,Kaggle 2018,NA,NA
Male,30-34,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,35-39,"Information technology, networking, or system administration",Master’s degree,Kaggle 2018,NA,NA
Male,18-21,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,35-39,Environmental science or geology,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,45-49,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,22-24,Other,Master’s degree,Kaggle 2018,NA,NA
Male,40-44,"Humanities (history, literature, philosophy, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,25-29,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,35-39,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,Mathematics or statistics,Doctoral degree,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,Physics or astronomy,Bachelor’s degree,Kaggle 2018,NA,NA
Male,30-34,"Social sciences (anthropology, psychology, sociology, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,18-21,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Prefer not to say,50-54,Engineering (non-computer focused),Doctoral degree,Kaggle 2018,NA,NA
Male,40-44,Physics or astronomy,Doctoral degree,Kaggle 2018,NA,NA
Female,50-54,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Female,25-29,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Mathematics or statistics,Bachelor’s degree,Kaggle 2018,NA,NA
Female,30-34,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",I prefer not to answer,Kaggle 2018,NA,NA
Female,25-29,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Female,30-34,Engineering (non-computer focused),Doctoral degree,Kaggle 2018,NA,NA
Male,22-24,"Information technology, networking, or system administration",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,Mathematics or statistics,Professional degree,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,35-39,"A business discipline (accounting, economics, finance, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,50-54,"Medical or life sciences (biology, chemistry, medicine, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,22-24,Engineering (non-computer focused),Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,22-24,"Humanities (history, literature, philosophy, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"Information technology, networking, or system administration",Some college/university study without earning a bachelor’s degree,Kaggle 2018,NA,NA
Male,30-34,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,40-44,"Information technology, networking, or system administration",Master’s degree,Kaggle 2018,NA,NA
Female,25-29,Physics or astronomy,Doctoral degree,Kaggle 2018,NA,NA
Male,30-34,Physics or astronomy,Doctoral degree,Kaggle 2018,NA,NA
Female,35-39,Mathematics or statistics,Doctoral degree,Kaggle 2018,NA,NA
Male,18-21,Mathematics or statistics,Some college/university study without earning a bachelor’s degree,Kaggle 2018,NA,NA
Male,22-24,"Information technology, networking, or system administration",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,35-39,Environmental science or geology,Doctoral degree,Kaggle 2018,NA,NA
Male,55-59,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,Mathematics or statistics,Doctoral degree,Kaggle 2018,NA,NA
Male,40-44,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,22-24,"Social sciences (anthropology, psychology, sociology, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,45-49,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,30-34,"Social sciences (anthropology, psychology, sociology, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,NA,No formal education past high school,Kaggle 2018,NA,NA
Male,22-24,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,22-24,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
