płeć,wiek,kierunek_wykształcenia,poziom_wykształcenia,Źródło,Student,Trans
Male,25 - 34 years old,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,"Yes, full-time",NA
NA,NA,"A natural science (ex. biology, chemistry, physics)","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2018,No,NA
Male,25 - 34 years old,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,No,NA
Male,25 - 34 years old,Mathematics or statistics,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,"Yes, part-time",NA
Male,35 - 44 years old,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,No,NA
Male,25 - 34 years old,"A natural science (ex. biology, chemistry, physics)",Some college/university study without earning a degree,Stack Overflow 2018,No,NA
Male,25 - 34 years old,"A humanities discipline (ex. literature, history, philosophy)","Other doctoral degree (Ph.D, Ed.D., etc.)",Stack Overflow 2018,No,NA
Male,25 - 34 years old,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,No,NA
NA,NA,"Another engineering discipline (ex. civil, electrical, mechanical)",Some college/university study without earning a degree,Stack Overflow 2018,No,NA
NA,NA,NA,Primary/elementary school,Stack Overflow 2018,NA,NA
Male,18 - 24 years old,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Stack Overflow 2018,"Yes, part-time",NA
NA,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Stack Overflow 2018,No,NA
NA,NA,"A social science (ex. anthropology, psychology, political science)","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2018,"Yes, full-time",NA
Male,NA,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,"Yes, part-time",NA
NA,NA,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,"Yes, full-time",NA
Male,18 - 24 years old,"Computer science, computer engineering, or software engineering",Some college/university study without earning a degree,Stack Overflow 2018,No,NA
Male,25 - 34 years old,Mathematics or statistics,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,No,NA
Male,25 - 34 years old,"Information systems, information technology, or system administration","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2018,"Yes, full-time",NA
Male,25 - 34 years old,"A social science (ex. anthropology, psychology, political science)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,No,NA
Male,25 - 34 years old,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2018,"Yes, part-time",NA
NA,NA,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,No,NA
Male,25 - 34 years old,Mathematics or statistics,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,No,NA
Male,18 - 24 years old,"A natural science (ex. biology, chemistry, physics)","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2018,"Yes, part-time",NA
Male,25 - 34 years old,"Computer science, computer engineering, or software engineering",Some college/university study without earning a degree,Stack Overflow 2018,No,NA
Male,25 - 34 years old,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,No,NA
Male,25 - 34 years old,"Another engineering discipline (ex. civil, electrical, mechanical)","Other doctoral degree (Ph.D, Ed.D., etc.)",Stack Overflow 2018,"Yes, full-time",NA
Male,18 - 24 years old,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,No,NA
Male,25 - 34 years old,"Computer science, computer engineering, or software engineering","Professional degree (JD, MD, etc.)",Stack Overflow 2018,"Yes, full-time",NA
NA,NA,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,"Yes, full-time",NA
Male,25 - 34 years old,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,No,NA
Male,25 - 34 years old,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,No,NA
Male,18 - 24 years old,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2018,"Yes, full-time",NA
Male,25 - 34 years old,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,No,NA
Male,18 - 24 years old,"Computer science, computer engineering, or software engineering",Some college/university study without earning a degree,Stack Overflow 2018,No,NA
NA,25 - 34 years old,"A humanities discipline (ex. literature, history, philosophy)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,"Yes, full-time",NA
Male,25 - 34 years old,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2018,No,NA
NA,25 - 34 years old,NA,NA,Stack Overflow 2018,"Yes, part-time",NA
Male,18 - 24 years old,"A natural science (ex. biology, chemistry, physics)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,"Yes, full-time",NA
Male,25 - 34 years old,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2018,No,NA
Male,25 - 34 years old,Mathematics or statistics,Some college/university study without earning a degree,Stack Overflow 2018,No,NA
Male,25 - 34 years old,NA,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,No,NA
Male,35 - 44 years old,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,No,NA
Male,45 - 54 years old,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,No,NA
Male,18 - 24 years old,NA,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2018,"Yes, full-time",NA
Male,18 - 24 years old,"Computer science, computer engineering, or software engineering",Some college/university study without earning a degree,Stack Overflow 2018,"Yes, full-time",NA
Female,18 - 24 years old,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Stack Overflow 2018,"Yes, full-time",NA
NA,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Stack Overflow 2018,No,NA
Male,Under 18 years old,NA,Primary/elementary school,Stack Overflow 2018,No,NA
Female,25 - 34 years old,Mathematics or statistics,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,"Yes, full-time",NA
Male,18 - 24 years old,"Another engineering discipline (ex. civil, electrical, mechanical)","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2018,"Yes, full-time",NA
NA,NA,"A humanities discipline (ex. literature, history, philosophy)","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2018,No,NA
Male,18 - 24 years old,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2018,"Yes, full-time",NA
NA,NA,Mathematics or statistics,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,NA,NA
NA,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Stack Overflow 2018,"Yes, full-time",NA
NA,NA,"Computer science, computer engineering, or software engineering",Some college/university study without earning a degree,Stack Overflow 2018,"Yes, full-time",NA
NA,NA,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2018,NA,NA
Man,28,Mathematics or statistics,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,22,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,25,"Computer science, computer engineering, or software engineering",Some college/university study without earning a degree,Stack Overflow 2019,No,No
Man,27,"Information systems, information technology, or system administration","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,NA
Man,31,NA,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,"Yes, part-time",No
Man,38,"Information systems, information technology, or system administration","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,30,Mathematics or statistics,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,27,Mathematics or statistics,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,49,Mathematics or statistics,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,"Yes, part-time",No
Man,22,"A natural science (ex. biology, chemistry, physics)","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,"Yes, full-time",No
Woman,30,"A social science (ex. anthropology, psychology, political science)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,53,Mathematics or statistics,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,No,No
Man,25,"Computer science, computer engineering, or software engineering","Professional degree (JD, MD, etc.)",Stack Overflow 2019,No,No
Man,23,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Stack Overflow 2019,No,No
Man,34,NA,"Other doctoral degree (Ph.D, Ed.D., etc.)",Stack Overflow 2019,"Yes, part-time",No
Man,35,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,"Yes, part-time",No
NA,NA,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,"Yes, full-time",NA
Man,26,"Another engineering discipline (ex. civil, electrical, mechanical)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,20,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,40,"Another engineering discipline (ex. civil, electrical, mechanical)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,37,"Information systems, information technology, or system administration","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,30,"Information systems, information technology, or system administration","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,21,"Computer science, computer engineering, or software engineering",Some college/university study without earning a degree,Stack Overflow 2019,"Yes, full-time",No
Man,23,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,19,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Stack Overflow 2019,No,No
Man,25,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,"Yes, part-time",No
Man,23,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,40,"A natural science (ex. biology, chemistry, physics)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,NA
Man,41,"A business discipline (ex. accounting, finance, marketing)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,35,"Computer science, computer engineering, or software engineering","Other doctoral degree (Ph.D, Ed.D., etc.)",Stack Overflow 2019,No,No
Woman,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,26,Mathematics or statistics,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Woman,27,"A humanities discipline (ex. literature, history, philosophy)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
NA,31,"Another engineering discipline (ex. civil, electrical, mechanical)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,28,"A business discipline (ex. accounting, finance, marketing)","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,22,"Computer science, computer engineering, or software engineering",NA,Stack Overflow 2019,"Yes, full-time",No
Man,23,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,NA,"A health science (ex. nursing, pharmacy, radiology)",Some college/university study without earning a degree,Stack Overflow 2019,"Yes, full-time",No
NA,33,Mathematics or statistics,Some college/university study without earning a degree,Stack Overflow 2019,No,NA
Woman,30,"A natural science (ex. biology, chemistry, physics)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,42,Mathematics or statistics,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,25,"Computer science, computer engineering, or software engineering","Professional degree (JD, MD, etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,28,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,20,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,40,"Another engineering discipline (ex. civil, electrical, mechanical)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Woman,25,"Another engineering discipline (ex. civil, electrical, mechanical)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Woman,NA,"Another engineering discipline (ex. civil, electrical, mechanical)","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,No,No
Man,28,"Another engineering discipline (ex. civil, electrical, mechanical)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,37,"A natural science (ex. biology, chemistry, physics)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,43,"A natural science (ex. biology, chemistry, physics)","Professional degree (JD, MD, etc.)",Stack Overflow 2019,No,No
Man,34,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,22,"Computer science, computer engineering, or software engineering",Some college/university study without earning a degree,Stack Overflow 2019,"Yes, full-time",No
Woman,33,"Another engineering discipline (ex. civil, electrical, mechanical)","Other doctoral degree (Ph.D, Ed.D., etc.)",Stack Overflow 2019,No,No
Man,31,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,No,No
Man,34,"A humanities discipline (ex. literature, history, philosophy)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,41,"A natural science (ex. biology, chemistry, physics)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,19,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Stack Overflow 2019,No,No
Man,33,"A natural science (ex. biology, chemistry, physics)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,28,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,No,No
Man,NA,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,27,I never declared a major,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,No,No
Man,27,Mathematics or statistics,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,No,No
Man,22,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,25,"Another engineering discipline (ex. civil, electrical, mechanical)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,25,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,"Yes, full-time",No
NA,26,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,No,No
Man,33,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,No,No
Man,22,"A business discipline (ex. accounting, finance, marketing)","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,44,"Information systems, information technology, or system administration","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,No,No
Man,26,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,No,No
Woman,23,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,36,"A natural science (ex. biology, chemistry, physics)","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,No,No
Man,28,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,"Yes, part-time",No
Man,29,"Another engineering discipline (ex. civil, electrical, mechanical)","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,22,"Another engineering discipline (ex. civil, electrical, mechanical)","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,35,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Woman;Man,19,"Computer science, computer engineering, or software engineering","Bachelor’s degree (BA, BS, B.Eng., etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,NA,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,34,"Computer science, computer engineering, or software engineering","Other doctoral degree (Ph.D, Ed.D., etc.)",Stack Overflow 2019,No,No
Man,19,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,24,NA,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,25,Mathematics or statistics,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
Man,26,"Computer science, computer engineering, or software engineering","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,"Yes, full-time",No
Man,31,"Computer science, computer engineering, or software engineering",Some college/university study without earning a degree,Stack Overflow 2019,"Yes, full-time",No
Man,29,Mathematics or statistics,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Stack Overflow 2019,No,No
